step,1-1hit,1-2hit,1-3hit,2-1hit,2-2hit,2-3hit,
96,0.0195,0.0176,0.0186,0.0332,0.0186,0.0186,
97,0.0195,0.0195,0.0186,0.0352,0.0186,0.0186,
98,0.0195,0.0195,0.0186,0.0352,0.0186,0.0186,
99,0.0195,0.0195,0.0186,0.0352,0.0195,0.0186,
100,0.0205,0.0195,0.0186,0.0361,0.0195,0.0186,
101,0.0205,0.0195,0.0195,0.0361,0.0195,0.0195,
102,0.0205,0.0195,0.0195,0.0361,0.0195,0.0195,
103,0.0205,0.0205,0.0195,0.0361,0.0195,0.0195,
104,0.0205,0.0205,0.0195,0.0371,0.0195,0.0195,
105,0.0205,0.0205,0.0195,0.0371,0.0215,0.0195,
106,0.0215,0.0205,0.0195,0.0371,0.0215,0.0195,
107,0.0215,0.0205,0.0205,0.0381,0.0215,0.0205,
108,0.0215,0.0205,0.0205,0.0381,0.0215,0.0205,
109,0.0215,0.0215,0.0205,0.0381,0.0215,0.0205,
110,0.0215,0.0215,0.0205,0.0381,0.0215,0.0205,
111,0.0215,0.0215,0.0205,0.0391,0.0225,0.0205,
112,0.0234,0.0215,0.0205,0.0391,0.0225,0.0205,
113,0.0234,0.0215,0.0215,0.0391,0.0225,0.0225,
114,0.0234,0.0215,0.0215,0.0400,0.0225,0.0225,
115,0.0234,0.0225,0.0215,0.0400,0.0225,0.0225,
116,0.0234,0.0225,0.0215,0.0400,0.0225,0.0225,
117,0.0234,0.0225,0.0215,0.0400,0.0234,0.0225,
118,0.0244,0.0225,0.0215,0.0420,0.0234,0.0225,
119,0.0244,0.0225,0.0225,0.0420,0.0234,0.0225,
120,0.0244,0.0225,0.0225,0.0420,0.0234,0.0234,
121,0.0244,0.0234,0.0225,0.0430,0.0234,0.0234,
122,0.0244,0.0234,0.0225,0.0430,0.0234,0.0234,
123,0.0244,0.0234,0.0225,0.0430,0.0244,0.0234,
124,0.0254,0.0234,0.0225,0.0439,0.0244,0.0234,
125,0.0254,0.0234,0.0225,0.0439,0.0244,0.0234,
126,0.0254,0.0234,0.0234,0.0439,0.0244,0.0244,
127,0.0254,0.0254,0.0234,0.0439,0.0244,0.0244,
128,0.0254,0.0254,0.0234,0.0449,0.0244,0.0244,
129,0.0254,0.0254,0.0234,0.0449,0.0254,0.0244,
130,0.0264,0.0254,0.0234,0.0449,0.0254,0.0244,
131,0.0264,0.0254,0.0254,0.0459,0.0254,0.0244,
132,0.0264,0.0254,0.0254,0.0459,0.0254,0.0254,
133,0.0264,0.0264,0.0254,0.0459,0.0254,0.0254,
134,0.0264,0.0264,0.0254,0.0469,0.0254,0.0254,
135,0.0264,0.0264,0.0254,0.0469,0.0264,0.0254,
136,0.0273,0.0264,0.0254,0.0469,0.0264,0.0254,
137,0.0273,0.0264,0.0264,0.0488,0.0264,0.0264,
138,0.0273,0.0264,0.0264,0.0488,0.0264,0.0264,
139,0.0273,0.0273,0.0264,0.0488,0.0264,0.0264,
140,0.0273,0.0273,0.0264,0.0498,0.0264,0.0264,
141,0.0273,0.0273,0.0264,0.0498,0.0283,0.0264,
142,0.0283,0.0273,0.0264,0.0498,0.0283,0.0264,
143,0.0283,0.0273,0.0273,0.0508,0.0283,0.0283,
144,0.0283,0.0283,0.0273,0.0508,0.0283,0.0283,
145,0.0283,0.0283,0.0273,0.0508,0.0283,0.0283,
146,0.0283,0.0283,0.0273,0.0508,0.0293,0.0283,
147,0.0283,0.0283,0.0273,0.0518,0.0293,0.0283,
148,0.0303,0.0283,0.0273,0.0518,0.0293,0.0283,
149,0.0303,0.0283,0.0283,0.0518,0.0293,0.0293,
150,0.0303,0.0293,0.0283,0.0527,0.0293,0.0293,
151,0.0303,0.0293,0.0283,0.0527,0.0293,0.0293,
152,0.0303,0.0293,0.0283,0.0527,0.0303,0.0293,
153,0.0312,0.0293,0.0283,0.0547,0.0303,0.0293,
154,0.0312,0.0293,0.0283,0.0547,0.0303,0.0293,
155,0.0312,0.0293,0.0293,0.0547,0.0303,0.0303,
156,0.0312,0.0303,0.0293,0.0557,0.0303,0.0303,
157,0.0312,0.0303,0.0293,0.0557,0.0303,0.0303,
158,0.0312,0.0303,0.0293,0.0557,0.0312,0.0303,
159,0.0322,0.0303,0.0293,0.0566,0.0312,0.0303,
160,0.0322,0.0303,0.0293,0.0566,0.0312,0.0303,
161,0.0322,0.0303,0.0312,0.0566,0.0312,0.0312,
162,0.0322,0.0322,0.0312,0.0566,0.0312,0.0312,
163,0.0322,0.0322,0.0312,0.0576,0.0312,0.0312,
164,0.0322,0.0322,0.0312,0.0576,0.0322,0.0312,
165,0.0332,0.0322,0.0312,0.0576,0.0322,0.0312,
166,0.0332,0.0322,0.0312,0.0586,0.0322,0.0312,
167,0.0332,0.0322,0.0322,0.0586,0.0322,0.0322,
168,0.0332,0.0332,0.0322,0.0586,0.0322,0.0322,
169,0.0332,0.0332,0.0322,0.0596,0.0322,0.0322,
170,0.0332,0.0332,0.0322,0.0596,0.0342,0.0322,
171,0.0342,0.0332,0.0322,0.0596,0.0342,0.0322,
172,0.0342,0.0332,0.0322,0.0596,0.0342,0.0322,
173,0.0342,0.0332,0.0332,0.0615,0.0342,0.0332,
174,0.0342,0.0342,0.0332,0.0615,0.0342,0.0332,
175,0.0342,0.0342,0.0332,0.0615,0.0342,0.0332,
176,0.0342,0.0342,0.0332,0.0625,0.0352,0.0332,
177,0.0361,0.0342,0.0332,0.0625,0.0352,0.0332,
178,0.0361,0.0342,0.0332,0.0625,0.0352,0.0332,
179,0.0361,0.0342,0.0342,0.0635,0.0352,0.0352,
180,0.0361,0.0352,0.0342,0.0635,0.0352,0.0352,
181,0.0361,0.0352,0.0342,0.0635,0.0352,0.0352,
182,0.0371,0.0352,0.0342,0.0645,0.0361,0.0352,
183,0.0371,0.0352,0.0342,0.0645,0.0361,0.0352,
184,0.0371,0.0352,0.0352,0.0645,0.0361,0.0361,
